Table,Colonne,Description,Valeurs Possibles,Clé Primaire,Clé Etrangère,Format
compagnies,id,Identifiant technique,,TRUE,FALSE,SERIAL
compagnies,code_cie,Code unique compagnie,,FALSE,FALSE,VARCHAR(10)
compagnies,nom,Nom complet compagnie,,FALSE,FALSE,VARCHAR(255)
compagnies,adresse,Adresse de la compagnie,,FALSE,FALSE,VARCHAR(255)
compagnies,contact,Contact (téléphone/email),,FALSE,FALSE,VARCHAR(255)
compagnies,actif,Statut actif/inactif,TRUE/FALSE,FALSE,FALSE,BOOLEAN
clients,id,Identifiant technique client,,TRUE,FALSE,SERIAL
clients,type_client,Type de client,PARTICULIER/SOCIETE,FALSE,FALSE,VARCHAR(20)
clients,code_client,Code interne client,,FALSE,FALSE,VARCHAR(50)
clients,adresse,Adresse client,,FALSE,FALSE,VARCHAR(255)
clients,tel,Téléphone client,,FALSE,FALSE,VARCHAR(50)
clients,email,Email client,,FALSE,FALSE,VARCHAR(100)
clients,particulier_id,Identifiant particulier,,FALSE,TRUE,INT
clients,societe_id,Identifiant societe,,FALSE,TRUE,INT
particuliers,id,Identifiant particulier,,TRUE,FALSE,SERIAL
societes,id,Identifiant societe,,TRUE,FALSE,SERIAL
users,id,Identifiant utilisateur,,TRUE,FALSE,SERIAL
users,nom,Nom de l'utilisateur,,FALSE,FALSE,VARCHAR(255)
users,prenom,Prénom de l'utilisateur,,FALSE,FALSE,VARCHAR(255)
users,poste,Poste ( Rôle ) de l'utilisateur,ADMINISTRATEUR/COLLABORATEUR,FALSE,FALSE,VARCHAR(20)
users,motdepasse,Mdp de l'utilisateur,,FALSE,FALSE,VARCHAR(255)
infos,user_id,Identifiant de l'utilisateur,,TRUE,TRUE,SERIAL
infos,tel,Téléphone de l'utilisateur,,FALSE,FALSE,VARCHAR(50)
infos,email,Email de l'utilisateur,,FALSE,FALSE,VARCHAR(100)
infos,adresse,Adresse de l'utilisateur,,FALSE,FALSE,VARCHAR(255)
infos,ville,Ville de l'utilisateur,,FALSE,FALSE,VARCHAR(255)
branches,id,Identifiant technique,,TRUE,FALSE,SERIAL
branches,code_branche,Code branche,,FALSE,FALSE,VARCHAR(10)
branches,nom,Nom de la branche,,FALSE,FALSE,VARCHAR(255)
produits,id,Identifiant technique,,TRUE,FALSE,SERIAL
produits,nom,Nom du produit,,FALSE,FALSE,VARCHAR(255)
produits,code_produit,Code interne produit,,FALSE,FALSE,VARCHAR(50)
produits,compagnie_id,Lien vers compagnies,,FALSE,TRUE,INT
produits,branche_id,Lien vers branches,,FALSE,TRUE,INT
produits,description,Description produit,,FALSE,FALSE,TEXT
garanties,id,Identifiant technique,,TRUE,FALSE,SERIAL
garanties,nom,Nom de la garantie,,FALSE,FALSE,VARCHAR(255)
garanties,produit_id,Lien vers produits,,FALSE,TRUE,INT
garanties,compagnie_id,Lien vers compagnies,,FALSE,TRUE,INT
garanties,commission_pct,Pourcentage de commission,0-100,FALSE,FALSE,"DECIMAL(5,2)"
garanties,taxe_pct,Pourcentage de taxe,0-100,FALSE,FALSE,"DECIMAL(5,2)"
garanties,description,Description garantie,,FALSE,FALSE,TEXT
sous_graranties,id,Identifiant technique,,TRUE,FALSE,SERIAL
sous_graranties,nom,Nom de la sous-garantie,,FALSE,FALSE,VARCHAR(255)
